AniLifeNumber,avg_early_lactation_yield,avg_mid_lactation_yield,avg_delta_early_mid_yield,avg_daily_yield,avg_total_milk,avg_insem,avg_failed_insem,avg_failed_pregnancies,avg_calving_to_insem,number_lactations,avg_lactation_duration,avg_dry_interval,n_intervals,age_at_first_calving,latest_lactation_date,AniBirthday,AniGenId.x,birth_year,category.x,entry_code,entry_date,exit_code,exit_date,month,year,AniActive,AniGenId.y,age_at_exit,endmilk_to_exit_days,total_insem,total_successes,insem_success_ratio,age_at_first_insem,InsDate,age_first_successful_insem,n_health_problems,recovery_duration,date_last_diagnosis,last_diagnosis,national_number,weight,selling_price,classification,category.y,slaughter_date,cohort,farm
FR1442982480,1059.902897,2798.15531125,1738.2524142500001,43.31649925,16970.169902499998,3.25,2.25,1.5,94.5,4,406.25,69.66666666666667,3,27,2020-07-10,2014-02-09,2,2014,VA,A,2015-11-04,B,2021-12-27,5,2016,TRUE,2,94,218,13,4,0.3076923076923077,18,2016-08-17,18,0,0,NA,NA,FR1442982480,341.8,NA,P-3,D,2021-12-27,2013-2016,farm5
FR4401541485,877.9287893333333,1512.912599,634.9838096666667,32.476546666666664,6222.265371666666,NA,NA,0.3333333333333333,NA,3,200.33333333333334,71.5,2,36,2022-09-06,2017-09-12,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2016-2019,farm5
FR4401571216,369.223293,0,-369.223293,23.76875,369.2233,NA,NA,0,NA,10,16,NA,0,131,2014-10-06,2003-10-10,NA,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,98,2012-12-21,NA,0,0,NA,NA,FR4401571216,324,NA,P-3,D,2015-03-23,pre-2013,farm5
FR4401571239,1097.475716,2579.417444,1481.941728,39.141988,6878.3495140000005,NA,NA,0,NA,8,181,NA,0,116,2014-08-06,2004-11-19,NA,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,82,2012-10-15,NA,0,0,NA,NA,FR4401571239,288,NA,P-2,D,2015-02-04,pre-2013,farm5
FR4401571247,1047.087363,3023.980552,1976.893189,40.548753,14211.747572,3,2,0,64,7,361,NA,0,108,2014-08-31,2005-08-18,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0.3333333333333333,70,2012-07-14,NA,0,0,NA,NA,FR4401571247,379.1,NA,P-3,D,2015-08-28,pre-2013,farm5
FR4401571263,926.116489,2100.388318,1174.271829,33.717968,4190.194174,NA,NA,0,NA,7,128,NA,0,106,2014-10-12,2005-12-05,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,72,2012-12-10,NA,0,0,NA,NA,FR4401571263,272.5,NA,P-1,D,2015-02-18,pre-2013,farm5
FR4401571276,1465.242701,3427.378612,1962.135911,46.382291,8646.019417,NA,NA,0,NA,6,192,NA,0,91,2014-04-11,2006-09-05,NA,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,53,2012-02-06,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,pre-2013,farm5
FR4401571277,1059.93526,2804.4012636666666,1744.4660036666667,39.846781,13967.249190333332,1.5,0.5,0.3333333333333333,145.5,7,351,74.5,2,87,2016-08-23,2006-09-17,2,2006,VL,N,2006-09-17,B,2017-04-25,1,2015,FALSE,2,127,0,3,2,0.6666666666666666,62,2012-11-17,80,0,0,NA,NA,FR4401571277,312.8,NA,P-3,D,2017-04-26,pre-2013,farm5
FR4401571288,5.53398,0,-5.53398,5.7,5.53398,NA,NA,0,NA,6,1,NA,0,92,2014-11-06,2007-02-21,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,56,2012-11-19,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,pre-2013,farm5
FR4401571289,1089.223286,2376.796085,1287.572799,35.074444,12259.029126,NA,NA,0,NA,5,360,NA,0,89,2014-08-02,2007-03-01,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,48,2012-03-01,NA,0,0,NA,NA,FR4401571289,306.2,NA,P-3,D,2015-07-30,pre-2013,farm5
FR4401571293,1324.368918,3355.922297,2031.553379,48.935684,11450,1,0,0,107,4,241,NA,0,74,2013-12-11,2007-09-22,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,39,2012-01-10,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,pre-2013,farm5
FR4401572002,1182.42717,2527.572789,1345.145619,39.46307,9233.592233,NA,NA,0,NA,5,241,NA,0,77,2014-06-21,2008-01-07,NA,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,42,2012-07-19,NA,0,0,NA,NA,FR4401572002,278.5,NA,P-2,D,2015-02-18,pre-2013,farm5
